#                                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_131899_length_2829_cov_24.205128:26-2480   -            353 62815at7898          -            433  7.7e-198  655.7   0.1   1   1  1.8e-200  8.7e-198  655.5   0.1     1   326    21   353    21   353 0.98 -
NODE_40434_length_7080_cov_30.469130:799-2535   -            553 62815at7898          -            433  2.2e-162  538.9   1.4   1   1  1.1e-163  5.3e-161  534.3   1.4     1   432    43   520    43   521 0.89 -
NODE_5127_length_15273_cov_38.872545:3266-8986  -            517 62815at7898          -            433  3.7e-154  511.7   0.5   1   1  5.2e-156  2.5e-153  509.0   0.5     1   432     1   479     1   480 0.89 -
NODE_20714_length_9700_cov_33.412040:6722-8080  -            453 62815at7898          -            433    9e-138  457.8   2.9   1   1  1.7e-139  8.5e-137  454.6   2.9    58   433     1   422     1   422 0.88 -
NODE_153176_length_2342_cov_31.105216:274-1653  -            460 62815at7898          -            433  6.6e-134  445.0   1.6   1   1  4.4e-135  2.2e-132  440.0   1.6    58   432     1   422     1   423 0.87 -
NODE_49221_length_6328_cov_28.089902:1838-5680  -            305 62815at7898          -            433   1.2e-11   42.2   0.0   1   1   3.8e-14   1.8e-11   41.6   0.0   176   408     5   245     2   264 0.73 -
NODE_52477_length_6094_cov_33.580651:1881-4800  -            290 62815at7898          -            433   7.1e-10   36.4   0.1   1   1   1.9e-12   9.3e-10   36.0   0.1   175   339     3   172     1   240 0.87 -
NODE_11696_length_11962_cov_42.169519:2514-9275 -            359 62815at7898          -            433   1.7e-07   28.5   0.1   1   2   3.1e-07   0.00015   18.8   0.1    32   199    11   180     5   191 0.70 -
NODE_11696_length_11962_cov_42.169519:2514-9275 -            359 62815at7898          -            433   1.7e-07   28.5   0.1   2   2   0.00092      0.45    7.3   0.0   199   251   213   264   201   269 0.86 -
NODE_7888_length_13548_cov_188.194513:402-9278  -            350 62815at7898          -            433   2.5e-07   27.9   0.0   1   2     0.049        24    1.7   0.0   150   205    41    99    14   107 0.67 -
NODE_7888_length_13548_cov_188.194513:402-9278  -            350 62815at7898          -            433   2.5e-07   27.9   0.0   2   2   6.2e-09     3e-06   24.4   0.0   195   321   120   235   113   320 0.89 -
NODE_5543_length_14963_cov_34.221206:3490-11903 -            290 62815at7898          -            433   9.9e-05   19.4   1.3   1   2   3.2e-07   0.00016   18.7   0.9    34   143    16   123     5   166 0.74 -
NODE_5543_length_14963_cov_34.221206:3490-11903 -            290 62815at7898          -            433   9.9e-05   19.4   1.3   2   2       1.7   8.6e+02   -3.5   0.0   229   249   185   205   179   216 0.81 -
NODE_14666_length_11077_cov_27.992622:4054-7968 -            382 62815at7898          -            433   0.00015   18.8   0.2   1   3   3.8e-05     0.019   11.9   0.0    21    71     6    58     3    68 0.84 -
NODE_14666_length_11077_cov_27.992622:4054-7968 -            382 62815at7898          -            433   0.00015   18.8   0.2   2   3    0.0071       3.5    4.4   0.0   210   256   170   216   163   221 0.89 -
NODE_14666_length_11077_cov_27.992622:4054-7968 -            382 62815at7898          -            433   0.00015   18.8   0.2   3   3       2.6   1.3e+03   -4.0   0.0    99   115   263   279   249   283 0.73 -
NODE_3938_length_16415_cov_32.672653:300-3243   -            249 62815at7898          -            433   0.00033   17.7   0.0   1   2   4.9e-06    0.0024   14.8   0.0   208   250     4    46     1   135 0.86 -
NODE_3938_length_16415_cov_32.672653:300-3243   -            249 62815at7898          -            433   0.00033   17.7   0.0   2   2       2.1     1e+03   -3.7   0.0   377   405   206   234   188   237 0.67 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/62815at7898.hmm
# Target file:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/initial_results/scaffolds.modified.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/hmmer_output/initial_run_results/62815at7898.out --cpu 1 /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/62815at7898.hmm /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/initial_results/scaffolds.modified.fasta.modified.fas 
# Current dir:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus
# Date:            Fri Aug 20 13:24:33 2021
# [ok]
